0687b1,Activity Booklet 1 - Set 0687,0,Red
1,Homemaker Bookcase 2 x 4 x 4,1,Magenta
10,Baseplate 24 x 32 [Undetermined Type],2,Brown
10000,Duplo Animal Brick 2 x 2 Elephant Head,3,Purple
10010484,Sticker Sheet for Set 4200-1,4,Violet
10010490,Sticker Sheet for Set 4201 -1,5,Orange
10010491,Sticker Sheet for Set 4202-1,6,Violet
10010492,Sticker Sheet for Set 4203-1,7,Purple
10010493,Sticker Sheet for Set 4204-1,8,Red
10010521,Sticker Sheet for Set 10221-1,9,Violet
10010653,Sticker Sheet for Set 4207-1,10,Pink
10016414,Sticker Sheet 1 for Set 41055-1,11,Magenta
10039,Pullback Motor 8 x 4 x 2/3,12,Green
10048,Minifig Hair Tousled,13,Yellow
10049,Minifig Shield Broad with Spiked Bottom and Cutout Corner,14,Brown
10049pr0001,Minifig Shield Broad with Spiked Bottom and Cutout Corner with Handprint Print,15,Green
10050,Weapon Sword (Uruk-hai),16,Pink
10051,Minifig Helmet Castle with Lateral Comb [Uruk-hai],17,Yellow
10051pr0001,Minifig Helmet Castle with Lateral Comb and Handprint Print,18,Pink
10052,"\Minifig Neckwear Beard""",19,Red
10053,Weapon Sword Small,20,Red
10054,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style),21,Black
10054pr0001,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Eomer Print,22,Yellow
10054pr0002,Minifig Helmet with Cheek Protection and Horsehead Comb (Rohan Style) with Theoden Print,23,Violet
10055pr0001,Minifig Hair Long Straight with Light Flesh Elf Ears Print,24,Orange
10056pr0001,Minifig Helmet with Cheek Protection and Dark Red Ornaments Print,25,Orange
10057,Body / Head Gollum,26,Purple
10057pr0001,Body / Head Gollum - Wide Eyes,27,Violet
10057pr0002,Body / Head Gollum - Narrow Eyes,28,Brown
10058,"\Arm""",29,Black
10061,"\Arm""",30,Orange
10061pr0001,"\Bigfig Arm""",31,Yellow
10062,"\Hand Cave Troll""",32,Brown
10063,"\Arm""",33,Magenta
10063pr0001,"\Bigfig Arm""",34,Orange
10064,"\Hand Cave Troll""",35,Brown
10065,"\Minifig Neckwear Beard""",36,Yellow
10066pr0001,Minifig Hair Orc with Dark Tan Ears Print,37,Violet
10066pr0002,Minifig Hair Orc with Olive Green Ears Print,38,Yellow
10066pr0003,Minifig Hair Orc with Medium Dark Flesh Ears Print,39,Violet
10075cdb01,Backdrop for Set 10075 Spider-Man Action Pack,40,Yellow
100954456,Sticker Sheet for Set 3184-1,41,Yellow
10095457,Sticker Sheet for Set 3186-1,42,Yellow
10095459,Sticker Sheet for Set 3189 -1,43,Magenta
10099434,Sticker Sheet for Set 3063-1,44,Blue
10099435,Sticker Sheet for Set 3185-1,45,Magenta
10111apr0006,"\Duplo Figure with Headset and Cap Yellow""",46,Brown
10111c01pr0005,"\Duplo Figure with Headset and Cap Yellow""",47,Blue
10111c02pr0005,"\Duplo Figure with Headset and Cap Black""",48,Violet
10111pr0001,"\Duplo Figure with Headset and Cap Black""",49,Red
10111pr0002,"\Duplo Figure with Headset and Cap Yellow""",50,Violet
10111pr0003,"\Duplo Figure with Headset and Cap Orange""",51,Red
10111pr0004,"\Duplo Figure with Headset and Cap Yellow""",52,Pink
10111pr0007,"\Duplo Figure with Headset and Cap Yellow""",53,Yellow
10111pr0033,"\Duplo Figure with Headset and Cap Yellow""",54,Orange
10111pr0075,"\Duplo Figure with Headset and Cap Yellow""",55,Magenta
10111pr0093,"\Duplo Figure with Headset and Cap Yellow""",56,Blue
10111pr0117,"\Duplo Figure with Headset and Cap White""",57,Orange
10113,Minifig Mask Batman Cowl,58,Purple
10113pr0001,Minifig Mask Batman Cowl with Silver Bat Mask Around Eyes Print,59,Violet
10113pr0002,Minifig Mask Batman Cowl with Black Stitched Seams Print,60,Violet
10113pr0003,Minifig Mask Batman Cowl with Electro-Suit Print,61,Purple
10113pr0004,"\Minifig Mask Batman Cowl with Silver Stars""",62,Black
10113pr9999,Minifig Mask Batman Cowl with Black Zebra Stripes print,63,Pink
1011A,Modulex Tile 1 x 1 with No Lining,64,Brown
1011Apr0001,Modulex Tile 1 x 1 with Black 'A' Print with No Lining,65,Yellow
1011Apr0002,Modulex Tile 1 x 1 with Black 'B' Print with No Lining,66,Black
1011Apr0003,Modulex Tile 1 x 1 with Black 'C' Print with No Lining,67,Magenta
1011Apr0004,Modulex Tile 1 x 1 with Black 'D' Print with No Lining,68,Pink
1011Apr0005,Modulex Tile 1 x 1 with Black 'E' Print with No Lining,69,Orange
1011Apr0006,Modulex Tile 1 x 1 with Black 'F' Print with No Lining,70,Red
1011Apr0007,Modulex Tile 1 x 1 with Black 'G' Print with No Lining,71,Black
1011Apr0008,Modulex Tile 1 x 1 with Black 'H' Print with No Lining,72,Pink
1011Apr0009,Modulex Tile 1 x 1 with Black 'I' Print with No Lining,73,Pink
1011Apr0010,Modulex Tile 1 x 1 with Black 'J' Print with No Lining,74,Purple
1011Apr0011,Modulex Tile 1 x 1 with Black 'K' Print with No Lining,75,Green
1011Apr0012,Modulex Tile 1 x 1 with Black 'L' Print with No Lining,76,Red
1011Apr0013,Modulex Tile 1 x 1 with Black 'M/W' Print with No Lining,77,Brown
1011Apr0014,Modulex Tile 1 x 1 with Black 'N' Print with No Lining,78,Violet
1011Apr0015,Modulex Tile 1 x 1 with Black 'O' Print with No Lining,79,Pink
1011Apr0016,Modulex Tile 1 x 1 with Black 'P' Print with No Lining,80,Blue
1011Apr0017,Modulex Tile 1 x 1 with Black 'Q' Print with No Lining,81,Pink
1011Apr0018,Modulex Tile 1 x 1 with Black 'R' Print with No Lining,82,Violet
1011Apr0019,Modulex Tile 1 x 1 with Black 'S' Print with No Lining,83,Brown
1011Apr0020,Modulex Tile 1 x 1 with Black 'T' Print with No Lining,84,Pink
1011Apr0021,Modulex Tile 1 x 1 with Black 'U' Print with No Lining,85,Brown
1011Apr0022,Modulex Tile 1 x 1 with Black 'V' Print with No Lining,86,Green
